image,drink_category,subcategory,mean_valence,sd_valence,mean_craving,sd_craving,database
139_beer.jpg,beer,pouring,62,18.23270064,52.38461538,25.64474784,pexels
140_beer.jpg,beer,pouring,63.74137931,19.23589512,51.46551724,24.76430334,unsplash
141_beer.jpg,beer,pouring,57.19230769,22.66208586,51.86538462,25.45047389,unsplash
142_beer.jpg,beer,smoking_context,58.68965517,25.33647734,50.34482759,28.58938076,pexels
143_beer.jpg,beer,smoking_context,51.82692308,23.20811315,42.28846154,28.02263549,pexels
144_beer.jpg,beer,smoking_context,51.62068966,29.71550932,47.13793103,29.732402,unsplash
145_beer.jpg,beer,smoking_context,57.51923077,22.50097199,48.75,22.83004127,unsplash
146_beer.jpg,beer,smoking_context,59.51724138,26.23860914,50.39655172,29.05767988,pixabay
147_beer.jpg,beer,smoking_context,63.48076923,24.31209687,48.5,29.59166549,unsplash
148_beer.jpg,beer,smoking_context,60.5,26.54043588,49.87931034,30.9867417,pexels
149_beer.jpg,beer,smoking_context,37.55769231,23.51254439,31.17307692,25.6887258,pexels
150_beer.jpg,beer,smoking_context,55.32758621,26.10531164,48.5,30.77208236,pexels
151_beer.jpg,beer,smoking_context,47.13461538,24.30930496,38.69230769,27.31984732,pexels
152_beer.jpg,beer,social_food,76.86538462,14.35683734,59,24.41230805,unsplash
153_beer.jpg,beer,social_food,74.53448276,22.21601723,65.74137931,23.82653713,shutterstock
154_beer.jpg,beer,social_food,68.46153846,22.45296743,47.17307692,25.50257285,pexels
155_beer.jpg,beer,social_food,64.55172414,24.09569548,53.5862069,26.81714199,unsplash
156_beer.jpg,beer,social_food,59.71153846,25.27677112,51.78846154,26.94972555,pexels
157_beer.jpg,beer,social_food,70.65517241,20.73267759,55.24137931,27.11787806,pixabay
158_beer.jpg,beer,social_food,74.38461538,21.13184925,52.80769231,26.06856605,unsplash
159_beer.jpg,beer,social_food,71.72413793,24.32296807,59.75862069,26.22594828,unsplash
160_beer.jpg,beer,social_food,77.17307692,16.36917375,56.26923077,24.49739113,unsplash
161_beer.jpg,beer,social_food,74.62068966,25.73537915,58.86206897,26.72107275,unsplash
162_beer.jpg,beer,social_setting,62.5,23.26952058,52.36538462,24.6465436,unsplash
163_beer.jpg,beer,social_setting,68.5,21.54412038,59.06896552,26.79870517,unsplash
164_beer.jpg,beer,social_setting,63.96153846,20.67390279,49.30769231,26.33013517,pixabay
165_beer.jpg,beer,social_setting,69.79310345,20.82319778,58.68965517,25.25672181,unsplash
166_beer.jpg,beer,social_setting,66.25,19.66271978,50.07692308,22.88663122,unsplash
167_beer.jpg,beer,social_setting,71.29310345,18.24493068,56.46551724,24.77775992,unsplash
168_beer.jpg,beer,social_setting,71.57692308,20.68754115,58.11538462,23.25616414,unsplash
169_beer.jpg,beer,social_setting,73.51724138,21.78059766,61.25862069,24.56038769,pixabay
170_beer.jpg,beer,social_setting,51.94230769,31.46016059,47.86538462,31.35816424,pixabay
171_beer.jpg,beer,social_setting,59.79310345,23.15679478,53.25862069,25.85286325,pexels
172_beer.jpg,beer,social_setting,66.61538462,21.53624746,54.90384615,25.08906458,pexels
173_beer.jpg,beer,social_setting,63.98275862,16.86841893,53.06896552,24.48763531,pexels
174_beer.jpg,beer,social_setting,67.98076923,19.16542064,53.73076923,23.37261292,pexels
175_beer.jpg,beer,social_setting,72.24137931,16.46613787,61.13793103,23.02588039,pexels
176_beer.jpg,beer,social_setting,65.55769231,22.64163566,55.32692308,25.56630837,pexels
177_beer.jpg,beer,social_setting,57.46551724,26.72420253,50.17241379,28.63450129,pexels
178_beer.jpg,beer,social_setting,62.15384615,27.69185101,50.71153846,27.21471382,pexels
179_beer.jpg,beer,social_setting,76.20689655,20.19271939,63.98275862,22.43625776,pexels
180_beer.jpg,beer,social_setting,58.73076923,19.75051787,48.84615385,21.27908355,pexels
181_beer.jpg,beer,social_setting,70.10344828,16.7223872,60.24137931,22.04804192,pexels
182_beer.jpg,beer,social_setting,76.82692308,20.46012013,62.98076923,26.20544053,pexels
183_beer.jpg,beer,social_setting,60.67241379,22.39312859,50.20689655,27.65689446,pexels
184_beer.jpg,beer,social_setting,58.44230769,21.38756599,45.78846154,24.14282383,pexels
185_beer.jpg,beer,social_setting,65.72413793,20.09520594,56.63793103,24.68090979,pexels
186_beer.jpg,beer,social_setting,64.01923077,20.36672641,50.65384615,26.45668648,pexels
187_beer.jpg,beer,social_setting,63.75862069,21.59703549,52.10344828,24.19053726,pexels
188_beer.jpg,beer,social_setting,72.07692308,18.06290333,50.5,25.02900278,pexels
189_beer.jpg,beer,social_setting,69.15517241,18.22741498,59.84482759,24.72004778,pexels
190_beer.jpg,beer,social_setting,72.86538462,20.30360622,55.46153846,24.89071135,unsplash
191_beer.jpg,beer,social_setting,62.62068966,21.08115279,49.82758621,28.27194874,unsplash
192_beer.jpg,beer,social_setting,55.96153846,21.32563728,48.63461538,25.74233474,depositphotos
193_beer.jpg,beer,social_setting,55.10344828,30.71641064,48.25862069,30.43691223,pexels
194_beer.jpg,beer,social_setting,68.09615385,22.23868703,59.32692308,26.03370451,unsplash
195_beer.jpg,beer,social_setting,67.65384615,22.64117767,52.46153846,24.39902082,unsplash
196_beer.jpg,beer,social_setting,64.79310345,25.04155047,57.4137931,26.19698287,unsplash
197_beer.jpg,beer,social_setting,72.67307692,19.84421796,56.32692308,25.72457523,unsplash
198_beer.jpg,beer,social_setting,72.46551724,18.13227762,60.82758621,23.42598492,unsplash
199_beer.jpg,beer,social_setting,66.59615385,22.79599175,50.44230769,26.93668208,unsplash
200_beer.jpg,beer,social_setting,48.36206897,23.86857163,40.06896552,26.35377537,unsplash
